TIPO_DOCUMENTO;DOCUMENTO;NOMBRE;APELLIDO;FECHA_NACI;TELEFONO;EMAIL
CC;1234546;Juan;Pérez;1990-11-20;3001234567;juan.perez@gmail.com
CC;1214743434;Andres;Lopez;1998-07-19;3004874630;miguel@gmail.com
CE;99999;Michael;Smith;1999-08-19;3123456789;michael.smith@gmail.com
CC;71234567;Andres;Rodriguez;1988-11-30;3004567891;carlos.r@hotmail.com
CE;445566;John;Smith;1992-05-22;3214567890;john.smith@gmail.com
TI;1001234567;Ana;Martinez;2005-08-10;3168907654;ana.m@gmail.com
CC;52345678;Laura;Perez;1990-12-05;3019876543;laura.p@outlook.com
CC;89012345;Pedro;Ramirez;1985-04-15;3145678901;pedro.r@gmail.com
CC;90123456;Sofia;Garcia;1993-09-25;3178901234;sofia.g@hotmail.com
CE;34567890;David;Brown;1987-06-18;3012345678;david.b@gmail.com
CC;23456789;Diana;Torres;1991-02-28;3189012345;diana.t@outlook.com
CC;67890123;Fernando;Ruiz;1988-07-12;3034567890;fernando.r@gmail.com
CC;45678901;Carmen;Lopez;1994-11-08;3167890123;carmen.l@hotmail.com
CC;12345678;Ricardo;Gomez;1989-03-20;3045678901;ricardo.g@gmail.com
CE;78901234;Sarah;Wilson;1996-10-05;3156789012;sarah.w@outlook.com
CC;123456;Mas;Amss;2024-10-31;12345667;s@d.com
CC;98765432;Isabel;Sánchez;1993-05-15;3187654321;isabel.s@gmail.com
CE;87654321;Thomas;Miller;1991-08-22;3198765432;thomas.m@outlook.com
CC;76543210;Andrés;Vargas;1987-12-01;3167543210;andres.v@gmail.com
TI;65432109;Valentina;Rojas;2006-03-25;3145432109;valentina.r@hotmail.com
CC;54321098;Eduardo;Morales;1994-09-11;3123210987;eduardo.m@gmail.com
CE;43210987;Emma;Johnson;1989-07-30;3134321098;emma.j@outlook.com
CC;32109876;Juliana;Castro;1992-04-17;3145678901;juliana.c@gmail.com
CC;21098765;Gabriel;Herrera;1986-11-05;3156789012;gabriel.h@hotmail.com
